Date,Open,High,Low,Close,Adj Close,Volume
2021-05-25,79.820290,81.066811,73.788933,78.083321,78.083321,0
2021-05-26,78.089592,86.710159,75.988899,84.291977,84.291977,905109
2021-05-27,84.286629,84.290688,77.069839,80.811081,80.811081,0
2021-05-28,80.809013,84.254951,75.931572,80.047638,80.047638,420441
2021-05-29,80.038513,85.648224,75.403908,80.001884,80.001884,354554
2021-05-30,80.001160,80.005783,30.522772,59.998196,59.998196,1061429
2021-05-31,60.004677,69.155693,59.802025,65.031219,65.031219,478004
2021-06-01,65.034630,68.847252,59.902351,60.239796,60.239796,110225
2021-06-02,60.246544,68.758110,60.239441,66.359467,66.359467,184628
2021-06-03,66.367584,66.471725,60.386318,64.946175,64.946175,0
2021-06-04,64.951447,64.951447,59.134792,60.098972,60.098972,3796
2021-06-05,60.090683,64.433235,58.963726,61.391796,61.391796,17039
2021-06-06,61.379181,63.064243,60.022018,60.860611,60.860611,95862
2021-06-07,60.860855,63.070450,55.131420,55.133152,55.133152,44095
2021-06-08,55.136448,61.094555,40.094677,54.967976,54.967976,344302
2021-06-09,54.967339,61.077816,54.650597,55.459034,55.459034,220252
2021-06-10,55.460613,58.144390,53.022781,54.261177,54.261177,418078
2021-06-11,54.259209,57.073410,28.701378,40.515266,40.515266,0
2021-06-12,40.515217,43.037674,34.337284,35.826782,35.826782,465906
2021-06-13,35.826118,37.041233,30.570852,33.522411,33.522411,586386
2021-06-14,33.525043,37.561073,31.989489,33.428551,33.428551,128696
2021-06-15,33.961525,37.008560,29.616314,31.795601,31.795601,1
2021-06-16,30.811892,30.812422,22.001265,25.805046,25.805046,0
2021-06-17,25.802191,29.136532,22.109243,26.018499,26.018499,652667
2021-06-18,26.019373,26.022760,21.095989,23.540028,23.540028,0
2021-06-19,23.541103,24.936508,21.077023,21.083307,21.083307,4411
2021-06-20,21.080534,21.213684,15.711296,15.714491,15.714491,340340
2021-06-21,15.713745,19.525616,15.104300,16.002998,16.002998,430514
2021-06-22,16.001429,20.853655,12.501449,20.020580,20.020580,2008
2021-06-23,20.020042,20.020971,16.250744,16.255123,16.255123,371802
2021-06-24,19.905525,19.908375,16.709570,16.711971,16.711971,382584
2021-06-25,16.713587,16.720844,14.994709,16.678322,16.678322,382608
2021-06-26,16.677315,16.678980,14.126319,15.620605,15.620605,357958
2021-06-27,15.618940,16.717108,15.024052,16.697302,16.697302,2921
2021-06-28,16.696308,16.699007,13.005775,16.500696,16.500696,1501
2021-06-29,16.498817,16.502562,16.299295,16.301891,16.301891,374144
2021-06-30,16.300287,54.972782,16.184402,25.005932,25.005932,17136
2021-07-01,25.005392,47.011024,21.452036,34.608974,34.608974,0
2021-07-02,34.607826,34.621033,21.430538,23.422049,23.422049,4277
2021-07-03,23.420767,27.012131,19.937218,20.560293,20.560293,161039
2021-07-04,20.559101,21.420906,18.992889,19.968084,19.968084,218165
2021-07-05,19.970028,19.991356,18.238728,18.433044,18.433044,332966
2021-07-06,18.432295,20.906933,17.591108,18.130598,18.130598,187972
2021-07-07,18.131634,19.993717,15.320458,17.611204,17.611204,332763
2021-07-08,17.612467,17.646038,15.058302,15.058657,15.058657,28959
2021-07-09,15.058450,16.999184,14.787024,16.035357,16.035357,286853
2021-07-10,16.034212,16.924728,15.219033,15.451107,15.451107,285551
2021-07-11,15.449688,16.585178,15.241522,16.224396,16.224396,267356
2021-07-12,16.223644,16.399118,15.197661,16.125263,16.125263,267676
2021-07-13,16.124361,16.407763,15.217657,16.010496,16.010496,304781
2021-07-14,16.008398,16.335285,14.582352,14.992378,14.992378,282441
2021-07-15,14.992019,15.910562,14.663171,15.418659,15.418659,280235
2021-07-16,15.420332,16.020933,14.721462,15.336119,15.336119,281781
2021-07-17,15.335716,15.961234,14.604106,14.958639,14.958639,275004
2021-07-18,14.958249,15.241520,14.504620,14.659630,14.659630,255244
