Date,Open,High,Low,Close,Adj Close,Volume
2019-05-25,0.015000,0.016103,0.014998,0.015788,0.015788,5394017
2019-05-26,0.015840,0.015972,0.014979,0.015492,0.015492,4229749
2019-05-27,0.015469,0.016709,0.015469,0.016533,0.016533,4655519
2019-05-28,0.016529,0.016570,0.015687,0.015952,0.015952,4945467
2019-05-29,0.016008,0.016451,0.015418,0.016390,0.016390,4223180
2019-05-30,0.016274,0.016822,0.014446,0.014594,0.014594,4228052
2019-05-31,0.014589,0.015239,0.014296,0.015166,0.015166,4064862
2019-06-01,0.015184,0.015818,0.015028,0.015641,0.015641,3812331
2019-06-02,0.015622,0.016452,0.015509,0.016321,0.016321,3856930
2019-06-03,0.016314,0.016472,0.015336,0.015337,0.015337,3308707
2019-06-04,0.015347,0.015347,0.013872,0.014076,0.014076,3535443
2019-06-05,0.014080,0.014631,0.013981,0.014374,0.014374,3330604
2019-06-06,0.014254,0.014621,0.013896,0.014274,0.014274,2861894
2019-06-07,0.014338,0.014916,0.014115,0.014632,0.014632,2848920
2019-06-08,0.014629,0.014767,0.013681,0.013941,0.013941,2753583
2019-06-09,0.013946,0.014019,0.012715,0.012979,0.012979,2967560
2019-06-10,0.012979,0.013661,0.012785,0.013099,0.013099,3008134
2019-06-11,0.013104,0.013167,0.012225,0.012512,0.012512,3297136
2019-06-12,0.012506,0.012810,0.012190,0.012619,0.012619,2513783
2019-06-13,0.012600,0.012785,0.012176,0.012362,0.012362,1673009
2019-06-14,0.012366,0.012522,0.011775,0.012345,0.012345,2416473
2019-06-15,0.012350,0.013025,0.012327,0.012809,0.012809,2104170
2019-06-16,0.012799,0.013146,0.012547,0.012791,0.012791,2065733
2019-06-17,0.012798,0.013063,0.012426,0.012659,0.012659,1731293
2019-06-18,0.012670,0.013217,0.012152,0.013079,0.013079,1796220
2019-06-19,0.013086,0.016061,0.012986,0.015869,0.015869,3046692
2019-06-20,0.015894,0.015894,0.014128,0.014339,0.014339,2023805
2019-06-21,0.014347,0.014408,0.013525,0.013751,0.013751,1667502
2019-06-22,0.013800,0.014946,0.013416,0.014946,0.014946,2239924
2019-06-23,0.014949,0.015121,0.013904,0.013984,0.013984,1227059
2019-06-24,0.013987,0.014490,0.013429,0.013910,0.013910,1284736
2019-06-25,0.013870,0.015077,0.013383,0.014741,0.014741,1774901
2019-06-26,0.014740,0.015103,0.012525,0.012906,0.012906,3736148
2019-06-27,0.012925,0.013601,0.011998,0.012298,0.012298,2670651
2019-06-28,0.012308,0.012784,0.011803,0.012720,0.012720,1647692
2019-06-29,0.012680,0.012680,0.011770,0.012579,0.012579,1541523
2019-06-30,0.012583,0.013059,0.011988,0.011990,0.011990,1257541
2019-07-01,0.012043,0.012884,0.011590,0.012695,0.012695,1353820
2019-07-02,0.012736,0.013029,0.011441,0.011892,0.011892,1845845
2019-07-03,0.011891,0.012549,0.011675,0.012211,0.012211,1552690
2019-07-04,0.012286,0.012379,0.011735,0.012004,0.012004,1094636
2019-07-05,0.012001,0.012145,0.011283,0.011626,0.011626,1145206
2019-07-06,0.011629,0.012406,0.011567,0.012373,0.012373,1142704
2019-07-07,0.012384,0.013684,0.012143,0.013605,0.013605,5210534
2019-07-08,0.013539,0.014301,0.012687,0.013075,0.013075,2970647
