Date,Open,High,Low,Close,Adj Close,Volume
2020-08-08,3.286373,3.708170,2.864868,3.078496,3.078496,2412485
2020-08-09,3.112779,4.610197,3.019537,4.461913,4.461913,3107990
2020-08-10,4.461913,4.907039,3.594060,4.324212,4.324212,2800751
2020-08-11,4.329843,4.930560,4.110274,4.251493,4.251493,1623921
2020-08-12,4.249504,4.769183,3.732197,3.961274,3.961274,2344860
2020-08-13,3.960093,4.184036,3.149602,3.328122,3.328122,2227986
2020-08-14,3.330705,3.554815,3.132289,3.313029,3.313029,1267618
2020-08-15,3.320823,3.336203,2.998220,2.998220,2.998220,876903
2020-08-16,3.006448,3.674842,2.940540,3.503402,3.503402,1426457
2020-08-17,3.503402,4.005757,3.280100,3.818225,3.818225,1951707
2020-08-18,3.820091,4.099222,3.592234,3.918523,3.918523,1643599
2020-08-19,3.919500,4.463449,3.610854,4.302289,4.302289,1993993
2020-08-20,4.302289,4.414495,3.157041,3.359644,3.359644,2417478
2020-08-21,3.329556,3.472656,2.850134,2.905686,2.905686,1487589
2020-08-22,2.906014,3.012212,2.351548,2.713165,2.713165,1392731
2020-08-23,2.693802,3.030736,2.355337,2.541305,2.541305,1117962
2020-08-24,2.541825,2.877607,2.399038,2.711696,2.711696,1179574
2020-08-25,2.709758,2.817527,2.077063,2.173795,2.173795,1259976
2020-08-26,2.174766,2.345858,2.126980,2.246594,2.246594,904484
2020-08-27,2.246318,2.300798,1.780343,1.920286,1.920286,924033
2020-08-28,1.906411,2.383324,1.712746,2.382563,2.382563,1128978
2020-08-29,2.360779,2.499575,2.239465,2.280004,2.280004,865414
2020-08-30,2.279497,3.208724,2.192928,2.953895,2.953895,1443954
2020-08-31,2.953289,3.194655,2.803698,3.092427,3.092427,1204501
2020-09-01,3.092584,3.127913,2.592973,2.651968,2.651968,825499
2020-09-02,2.648576,2.657407,1.974019,2.230766,2.230766,1146039
2020-09-03,2.230452,2.240913,1.986218,2.014815,2.014815,632321
2020-09-04,2.013387,2.022743,1.424729,1.444215,1.444215,707652
2020-09-05,1.444450,1.545187,1.059295,1.062080,1.062080,767643
2020-09-06,1.061653,1.295675,0.998503,1.256360,1.256360,550673
2020-09-07,1.256232,1.310970,0.918667,1.107924,1.107924,545973
2020-09-08,1.107736,1.167917,1.010378,1.095740,1.095740,797570
2020-09-09,1.095971,1.139692,0.979800,1.125159,1.125159,377875
2020-09-10,1.125159,1.163170,1.031637,1.054990,1.054990,531621
2020-09-11,1.054150,1.128683,1.022390,1.049957,1.049957,443019
2020-09-12,1.048547,1.139040,0.978042,1.126269,1.126269,622218
2020-09-13,1.124890,1.238541,1.118801,1.141747,1.141747,600843
2020-09-14,1.141489,1.497700,1.056463,1.370159,1.370159,1033696
2020-09-15,1.370159,1.541556,1.337220,1.447332,1.447332,737838
2020-09-16,1.447991,1.450198,1.187760,1.210209,1.210209,449955
2020-09-17,1.209150,1.262570,1.139708,1.169160,1.169160,498125
2020-09-18,1.169579,1.190303,1.064152,1.102152,1.102152,371159
2020-09-19,1.102152,1.182918,1.085706,1.168833,1.168833,384422
2020-09-20,1.170343,1.173742,1.053671,1.058920,1.058920,389612
2020-09-21,1.058920,1.065425,0.864081,0.904774,0.904774,569317
2020-09-22,0.912327,0.967132,0.853113,0.916451,0.916451,334946
2020-09-23,0.907698,0.909666,0.733148,0.764469,0.764469,380532
2020-09-24,0.761101,0.764786,0.622228,0.665336,0.665336,370660
2020-09-25,0.658556,0.800575,0.636008,0.785108,0.785108,218905
2020-09-26,0.784914,0.809617,0.694149,0.732748,0.732748,155132
2020-09-27,0.732710,0.736875,0.596741,0.699034,0.699034,280013
2020-09-28,0.698148,0.701834,0.616082,0.675102,0.675102,472088
2020-09-29,0.668047,0.801811,0.643934,0.775668,0.775668,476622
2020-09-30,0.779088,0.785999,0.696055,0.696055,0.696055,368330
2020-10-01,0.697722,0.719695,0.603943,0.628483,0.628483,462649
2020-10-02,0.627391,0.652631,0.570406,0.611244,0.611244,486158
2020-10-03,0.605914,0.686087,0.602051,0.680928,0.680928,366549
2020-10-04,0.680926,0.681889,0.480073,0.549922,0.549922,533821
2020-10-05,0.549897,0.573913,0.485311,0.506706,0.506706,548460
2020-10-06,0.506691,0.522602,0.463444,0.466550,0.466550,454494
2020-10-07,0.466230,0.487777,0.432728,0.454692,0.454692,438504
2020-10-08,0.454805,0.454819,0.410272,0.419128,0.419128,348442
2020-10-09,0.418236,0.558850,0.399701,0.532316,0.532316,610517
2020-10-10,0.532270,0.564828,0.505113,0.540925,0.540925,412098
2020-10-11,0.541660,0.544522,0.502222,0.505587,0.505587,389475
2020-10-12,0.505578,0.509256,0.429963,0.483806,0.483806,622908
2020-10-13,0.483322,0.483327,0.405779,0.430186,0.430186,429984
2020-10-14,0.431022,0.431886,0.398908,0.418855,0.418855,394685
2020-10-15,0.421558,0.428705,0.307194,0.379730,0.379730,525301
2020-10-16,0.381254,0.383332,0.314793,0.350657,0.350657,439879
2020-10-17,0.352789,0.384550,0.352744,0.365595,0.365595,312247
2020-10-18,0.362457,0.377641,0.345573,0.355652,0.355652,416230
2020-10-19,0.359827,0.359932,0.315207,0.333679,0.333679,609156
2020-10-20,0.332752,0.353149,0.301556,0.347569,0.347569,620989
2020-10-21,0.351105,0.403128,0.339184,0.390866,0.390866,500989
2020-10-22,0.390855,0.405942,0.376382,0.399703,0.399703,189269
2020-10-23,0.398713,0.431992,0.382233,0.391221,0.391221,397478
2020-10-24,0.391220,0.393705,0.352602,0.383963,0.383963,367036
2020-10-25,0.383963,0.387691,0.329552,0.352312,0.352312,438361
2020-10-26,0.352312,0.363612,0.306008,0.307580,0.307580,254014
2020-10-27,0.307580,0.360891,0.302976,0.342823,0.342823,313497
2020-10-28,0.342823,0.342852,0.291073,0.311316,0.311316,398132
2020-10-29,0.311316,0.314884,0.264585,0.292806,0.292806,272744
2020-10-30,0.292806,0.317948,0.261206,0.317947,0.317947,103548
2020-10-31,0.317947,0.318015,0.274137,0.292080,0.292080,230484
2020-11-01,0.292080,0.293017,0.254091,0.289501,0.289501,144545
2020-11-02,0.289501,0.307075,0.254118,0.306441,0.306441,354170
2020-11-03,0.306441,0.310986,0.285417,0.296995,0.296995,259314
2020-11-04,0.296995,0.314749,0.250183,0.285762,0.285762,231658
2020-11-05,0.285762,0.307853,0.255764,0.266765,0.266765,257983
2020-11-06,0.266764,0.349611,0.266764,0.328085,0.328085,392570
2020-11-07,0.328178,0.393916,0.325623,0.393391,0.393391,170015
2020-11-08,0.393412,0.419847,0.389664,0.409358,0.409358,123344
2020-11-09,0.409329,0.478808,0.323408,0.397479,0.397479,219853
2020-11-10,0.397471,0.416126,0.263259,0.400719,0.400719,290813
2020-11-11,0.400719,0.440408,0.357591,0.362847,0.362847,426824
2020-11-12,0.362846,0.362846,0.336145,0.354893,0.354893,307994
2020-11-13,0.354885,0.358870,0.336611,0.347835,0.347835,345880
2020-11-14,0.347842,0.351219,0.341935,0.342571,0.342571,269415
2020-11-15,0.342574,0.346357,0.315908,0.327795,0.327795,111653
2020-11-16,0.327797,0.340153,0.310514,0.322117,0.322117,320805
2020-11-17,0.325460,0.345787,0.319584,0.335560,0.335560,295014
2020-11-18,0.335561,0.354965,0.328246,0.352107,0.352107,321793
2020-11-19,0.352120,0.407053,0.342849,0.373990,0.373990,101070
2020-11-20,0.373990,0.434086,0.368551,0.374785,0.374785,216086
2020-11-21,0.374777,0.382374,0.364747,0.368461,0.368461,99631
2020-11-22,0.368460,0.374318,0.345597,0.345922,0.345922,202611
2020-11-23,0.345912,0.370487,0.344402,0.361018,0.361018,243510
2020-11-24,0.361172,0.385829,0.322143,0.343158,0.343158,208656
2020-11-25,0.343177,0.391430,0.315314,0.345945,0.345945,180586
2020-11-26,0.345916,0.346631,0.315715,0.329703,0.329703,274003
