Date,Open,High,Low,Close,Adj Close,Volume
2018-01-20,0.040985,0.046921,0.039277,0.045300,0.045300,162727008
2018-01-21,0.045308,0.045308,0.032549,0.034814,0.034814,65779900
2018-01-22,0.035424,0.039071,0.027925,0.031950,0.031950,96426600
2018-01-23,0.031968,0.045461,0.030730,0.037938,0.037938,85930400
2018-01-24,0.037826,0.136496,0.034821,0.126760,0.126760,619236992
2018-01-25,0.125822,0.135383,0.085817,0.101158,0.101158,618929984
2018-01-26,0.100435,0.106512,0.082453,0.092180,0.092180,177692992
2018-01-27,0.092181,0.095991,0.086912,0.088252,0.088252,101940000
2018-01-28,0.088401,0.089174,0.075746,0.076161,0.076161,95810400
2018-01-29,0.076494,0.081220,0.064110,0.070731,0.070731,168422000
2018-01-30,0.070460,0.070460,0.054299,0.055984,0.055984,76512800
2018-01-31,0.056424,0.057689,0.050933,0.055796,0.055796,108212000
2018-02-01,0.056332,0.068181,0.048717,0.054420,0.054420,127018000
2018-02-02,0.053866,0.053866,0.038166,0.046382,0.046382,98446304
2018-02-03,0.046489,0.049821,0.040724,0.048056,0.048056,52686400
2018-02-04,0.048007,0.049084,0.037947,0.040066,0.040066,34465800
2018-02-05,0.039389,0.040941,0.026701,0.029220,0.029220,40203400
2018-02-06,0.029588,0.035739,0.024345,0.035528,0.035528,57222900
2018-02-07,0.034648,0.040063,0.030764,0.032878,0.032878,52582100
2018-02-08,0.032782,0.039559,0.032782,0.038383,0.038383,41676500
2018-02-09,0.038370,0.041650,0.035550,0.041391,0.041391,27286600
2018-02-10,0.041201,0.046195,0.037520,0.039571,0.039571,48500500
2018-02-11,0.039615,0.039615,0.033519,0.035152,0.035152,50003200
2018-02-12,0.035367,0.039186,0.035367,0.037856,0.037856,26960200
2018-02-13,0.037900,0.038652,0.035433,0.036824,0.036824,43936400
2018-02-14,0.036900,0.041805,0.036782,0.041251,0.041251,44178200
2018-02-15,0.041116,0.041920,0.039317,0.041144,0.041144,38058200
2018-02-16,0.041204,0.044361,0.040064,0.043997,0.043997,50956400
2018-02-17,0.044297,0.054125,0.043963,0.052484,0.052484,90199904
2018-02-18,0.052477,0.054401,0.044615,0.045997,0.045997,60928300
2018-02-19,0.045769,0.048967,0.045769,0.046651,0.046651,46883000
2018-02-20,0.046684,0.047862,0.042626,0.042954,0.042954,37832000
2018-02-21,0.042828,0.043419,0.037015,0.038633,0.038633,28149000
2018-02-22,0.038625,0.041655,0.035152,0.036098,0.036098,57118000
2018-02-23,0.036025,0.038480,0.034405,0.037311,0.037311,43966100
2018-02-24,0.037248,0.038922,0.034335,0.035268,0.035268,22365800
2018-02-25,0.035178,0.035946,0.032884,0.034609,0.034609,32895300
2018-02-26,0.034608,0.036107,0.032670,0.034896,0.034896,23165600
2018-02-27,0.034906,0.038115,0.034207,0.037579,0.037579,42812900
2018-02-28,0.037510,0.037928,0.033511,0.033564,0.033564,17705500
2018-03-01,0.033644,0.035920,0.031621,0.034755,0.034755,33971800
2018-03-02,0.034740,0.036624,0.034102,0.034444,0.034444,29294200
2018-03-03,0.034477,0.035598,0.034074,0.034320,0.034320,24855400
2018-03-04,0.034310,0.034614,0.032885,0.034599,0.034599,25935500
2018-03-05,0.034601,0.036859,0.034118,0.035174,0.035174,40693400
2018-03-06,0.035021,0.035368,0.030778,0.031095,0.031095,34712000
2018-03-07,0.031111,0.031880,0.023520,0.024244,0.024244,33781600
2018-03-08,0.024116,0.024988,0.019173,0.019799,0.019799,48801300
2018-03-09,0.019740,0.019976,0.016192,0.019209,0.019209,40552600
2018-03-10,0.019216,0.019717,0.017534,0.017698,0.017698,21337100
2018-03-11,0.017679,0.022554,0.016786,0.021583,0.021583,35502900
2018-03-12,0.021590,0.023147,0.018310,0.019474,0.019474,34555500
2018-03-13,0.019375,0.021173,0.018889,0.020659,0.020659,25337000
2018-03-14,0.020616,0.022127,0.017886,0.018670,0.018670,29941900
2018-03-15,0.018706,0.018890,0.016485,0.017994,0.017994,19139200
2018-03-16,0.017979,0.019378,0.017026,0.018394,0.018394,17981400
2018-03-17,0.018440,0.018777,0.016667,0.016785,0.016785,10301700
2018-03-18,0.016784,0.016784,0.013711,0.016655,0.016655,19719200
2018-03-19,0.016666,0.018517,0.016260,0.018416,0.018416,18540900
2018-03-20,0.018662,0.019246,0.017187,0.018677,0.018677,17707700
2018-03-21,0.018764,0.021389,0.018441,0.020892,0.020892,33151200
2018-03-22,0.020914,0.023057,0.019782,0.021165,0.021165,45731200
2018-03-23,0.021198,0.026575,0.018705,0.024711,0.024711,73878304
2018-03-24,0.025150,0.028704,0.024267,0.024996,0.024996,91238096
2018-03-25,0.024470,0.030407,0.024238,0.027833,0.027833,80225104
2018-03-26,0.027688,0.028209,0.023111,0.025550,0.025550,51214800
2018-03-27,0.025529,0.025773,0.022800,0.023590,0.023590,30811400
2018-03-28,0.023593,0.027123,0.023593,0.026958,0.026958,43696400
2018-03-29,0.027178,0.028028,0.023708,0.024561,0.024561,63549700
2018-03-30,0.024468,0.026382,0.022854,0.025482,0.025482,44302100
2018-03-31,0.025498,0.026223,0.024082,0.024082,0.024082,22195700
2018-04-01,0.024110,0.024654,0.019743,0.021811,0.021811,28005200
2018-04-02,0.021940,0.023558,0.021560,0.023074,0.023074,20308800
2018-04-03,0.023109,0.026430,0.022692,0.025481,0.025481,40034600
2018-04-04,0.025443,0.032136,0.024464,0.029794,0.029794,148752992
2018-04-05,0.029358,0.029748,0.026664,0.029110,0.029110,51957700
2018-04-06,0.028926,0.028926,0.026238,0.027074,0.027074,27287400
2018-04-07,0.027150,0.035076,0.027139,0.033416,0.033416,126380000
2018-04-08,0.033470,0.036024,0.033023,0.034641,0.034641,71647800
2018-04-09,0.034672,0.035311,0.028951,0.029679,0.029679,81751904
2018-04-10,0.029788,0.030746,0.028201,0.029124,0.029124,45826900
2018-04-11,0.029151,0.031111,0.028769,0.030490,0.030490,47268500
2018-04-12,0.030478,0.035241,0.029581,0.034676,0.034676,66786500
2018-04-13,0.034605,0.036561,0.033302,0.034135,0.034135,59795700
2018-04-14,0.033933,0.038387,0.033450,0.037563,0.037563,70459400
2018-04-15,0.037682,0.038890,0.036785,0.038397,0.038397,51408200
2018-04-16,0.038359,0.038609,0.034046,0.036142,0.036142,46448800
2018-04-17,0.036127,0.036415,0.034460,0.034460,0.034460,32494800
2018-04-18,0.034415,0.037532,0.034415,0.037207,0.037207,29167800
2018-04-19,0.037231,0.040350,0.036791,0.039939,0.039939,59319400
2018-04-20,0.039950,0.042630,0.039584,0.041592,0.041592,76265200
2018-04-21,0.041610,0.043713,0.038619,0.041105,0.041105,74817904
2018-04-22,0.041171,0.052189,0.040104,0.047495,0.047495,162866000
2018-04-23,0.046977,0.052213,0.046227,0.048495,0.048495,101063000
2018-04-24,0.048582,0.056736,0.048582,0.055268,0.055268,113044000
2018-04-25,0.054868,0.054868,0.043594,0.044503,0.044503,139038000
2018-04-26,0.045032,0.052536,0.043525,0.052536,0.052536,104195000
2018-04-27,0.052485,0.052564,0.048683,0.048683,0.048683,64130500
2018-04-28,0.048519,0.058702,0.048290,0.057565,0.057565,92911000
2018-04-29,0.057622,0.060356,0.053332,0.059522,0.059522,120627000
2018-04-30,0.059195,0.064466,0.057935,0.058931,0.058931,121982000
2018-05-01,0.058943,0.058943,0.052251,0.057708,0.057708,94141104
2018-05-02,0.057539,0.065411,0.056033,0.064335,0.064335,99467400
2018-05-03,0.064628,0.067400,0.061693,0.064782,0.064782,100026000
2018-05-04,0.064763,0.070378,0.063853,0.067355,0.067355,85016704
2018-05-05,0.067179,0.069156,0.066349,0.066843,0.066843,52345000
2018-05-06,0.066777,0.066777,0.058359,0.060732,0.060732,72321800
2018-05-07,0.060762,0.061207,0.054221,0.057633,0.057633,77809600
2018-05-08,0.057931,0.071515,0.057830,0.070397,0.070397,171648992
2018-05-09,0.069818,0.072639,0.062702,0.070695,0.070695,117825000
2018-05-10,0.069619,0.078287,0.068988,0.068988,0.068988,166751008
2018-05-11,0.068917,0.070727,0.058584,0.060028,0.060028,121703000
