Date,Open,High,Low,Close,Adj Close,Volume
2018-05-25,0.058521,0.059200,0.056314,0.057012,0.057012,118140
2018-05-26,0.056856,0.061269,0.056461,0.056931,0.056931,96475
2018-05-27,0.056974,0.059339,0.054312,0.056843,0.056843,144689
2018-05-28,0.056846,0.056846,0.051822,0.052176,0.052176,119647
2018-05-29,0.052119,0.075531,0.050231,0.057660,0.057660,301667
2018-05-30,0.057699,0.065196,0.057074,0.063930,0.063930,224296
2018-05-31,0.063943,0.070319,0.063675,0.067805,0.067805,165255
2018-06-01,0.067882,0.070350,0.063097,0.065560,0.065560,342631
2018-06-02,0.065545,0.074164,0.065278,0.070696,0.070696,426831
2018-06-03,0.070625,0.074874,0.070579,0.071984,0.071984,233320
2018-06-04,0.072047,0.072316,0.063722,0.065793,0.065793,138463
2018-06-05,0.065796,0.068270,0.064775,0.065237,0.065237,221299
2018-06-06,0.065159,0.067960,0.064369,0.067850,0.067850,110536
2018-06-07,0.067865,0.068070,0.061002,0.062323,0.062323,365052
2018-06-08,0.062372,0.066931,0.061185,0.061436,0.061436,137234
2018-06-09,0.061416,0.061825,0.055531,0.058440,0.058440,261790
2018-06-10,0.058688,0.060276,0.054759,0.059583,0.059583,109682
2018-06-11,0.059646,0.060536,0.057432,0.058529,0.058529,109610
2018-06-12,0.058556,0.058665,0.049856,0.053035,0.053035,307465
2018-06-13,0.053211,0.056927,0.051562,0.052637,0.052637,122755
2018-06-14,0.052704,0.056999,0.050476,0.056456,0.056456,159438
2018-06-15,0.056433,0.057644,0.046937,0.051334,0.051334,366904
2018-06-16,0.051203,0.054425,0.051005,0.054083,0.054083,116321
2018-06-17,0.054129,0.054897,0.053340,0.053948,0.053948,150458
2018-06-18,0.053891,0.057459,0.053476,0.057120,0.057120,89082
2018-06-19,0.057097,0.059308,0.056926,0.059294,0.059294,107808
2018-06-20,0.059320,0.059941,0.058337,0.059483,0.059483,102612
2018-06-21,0.059474,0.059951,0.059163,0.059340,0.059340,92741
2018-06-22,0.059314,0.059332,0.054834,0.055854,0.055854,103534
2018-06-23,0.055867,0.056764,0.055450,0.056183,0.056183,82392
2018-06-24,0.056170,0.057493,0.053697,0.057129,0.057129,87697
2018-06-25,0.057011,0.059604,0.056579,0.058734,0.058734,87193
2018-06-26,0.058733,0.061629,0.057121,0.057189,0.057189,223740
2018-06-27,0.057057,0.060754,0.053978,0.057011,0.057011,322839
2018-06-28,0.057096,0.060699,0.054578,0.058939,0.058939,71941
2018-06-29,0.058947,0.062371,0.058237,0.061636,0.061636,98117
2018-06-30,0.061812,0.064559,0.061812,0.064265,0.064265,89462
2018-07-01,0.064308,0.064476,0.060802,0.061661,0.061661,105960
2018-07-02,0.061690,0.064957,0.061070,0.064875,0.064875,100170
2018-07-03,0.064810,0.065849,0.064596,0.065239,0.065239,92685
2018-07-04,0.065241,0.065661,0.062350,0.063745,0.063745,113524
2018-07-05,0.063878,0.065079,0.063539,0.065006,0.065006,89611
2018-07-06,0.064995,0.065725,0.063760,0.065587,0.065587,91288
2018-07-07,0.065542,0.067562,0.065087,0.067562,0.067562,93410
2018-07-08,0.067474,0.068006,0.065949,0.066029,0.066029,94151
2018-07-09,0.066029,0.066193,0.065288,0.065450,0.065450,93951
2018-07-10,0.065389,0.065963,0.064707,0.065282,0.065282,104657
2018-07-11,0.065311,0.067250,0.065294,0.067136,0.067136,93368
2018-07-12,0.067133,0.067204,0.063645,0.064305,0.064305,93837
2018-07-13,0.064414,0.064983,0.063859,0.064417,0.064417,78123
2018-07-14,0.064394,0.064676,0.062828,0.063574,0.063574,73244
2018-07-15,0.063544,0.063922,0.062316,0.063091,0.063091,110304
2018-07-16,0.063149,0.066974,0.062999,0.066974,0.066974,92318
2018-07-17,0.066994,0.071092,0.066556,0.070433,0.070433,101809
2018-07-18,0.070445,0.071726,0.068982,0.069830,0.069830,109881
2018-07-19,0.069766,0.070371,0.069201,0.069858,0.069858,95565
2018-07-20,0.069903,0.070300,0.068724,0.069486,0.069486,104091
2018-07-21,0.069472,0.070800,0.069064,0.070019,0.070019,100190
2018-07-22,0.069941,0.071025,0.069429,0.069573,0.069573,74858
2018-07-23,0.069578,0.071026,0.069271,0.069968,0.069968,102756
2018-07-24,0.069988,0.072984,0.069950,0.072519,0.072519,94156
2018-07-25,0.072192,0.072467,0.070776,0.071684,0.071684,74980
2018-07-26,0.071634,0.072618,0.071153,0.071333,0.071333,72655
2018-07-27,0.071389,0.073003,0.070792,0.072473,0.072473,87041
2018-07-28,0.072511,0.073339,0.071714,0.072346,0.072346,88261
2018-07-29,0.072400,0.072906,0.071944,0.072673,0.072673,84630
2018-07-30,0.072675,0.072729,0.070656,0.071356,0.071356,91677
2018-07-31,0.071393,0.071823,0.070054,0.071000,0.071000,89493
2018-08-01,0.070942,0.071285,0.069466,0.071285,0.071285,72844
2018-08-02,0.071259,0.071873,0.069834,0.070427,0.070427,66764
2018-08-03,0.070461,0.073273,0.068664,0.072880,0.072880,85282
2018-08-04,0.072869,0.073272,0.070458,0.071516,0.071516,68500
2018-08-05,0.071516,0.072392,0.071041,0.072018,0.072018,57089
2018-08-06,0.072103,0.072739,0.071121,0.071614,0.071614,47825
2018-08-07,0.071577,0.072088,0.066701,0.066866,0.066866,39924
2018-08-08,0.066935,0.066935,0.064388,0.065861,0.065861,57182
2018-08-09,0.065906,0.068394,0.065906,0.067700,0.067700,48920
2018-08-10,0.067617,0.067903,0.061269,0.061455,0.061455,47618
2018-08-11,0.061464,0.061464,0.057537,0.059777,0.059777,47971
2018-08-12,0.059447,0.060596,0.057435,0.057531,0.057531,65325
2018-08-13,0.057655,0.058054,0.053342,0.053656,0.053656,53095
2018-08-14,0.053635,0.053635,0.049014,0.051839,0.051839,51752
2018-08-15,0.051995,0.056990,0.051995,0.053922,0.053922,39430
2018-08-16,0.053959,0.056125,0.053764,0.054791,0.054791,41581
2018-08-17,0.054721,0.059348,0.054704,0.059306,0.059306,49646
2018-08-18,0.059497,0.060305,0.054983,0.056042,0.056042,55823
2018-08-19,0.056047,0.058607,0.055621,0.057586,0.057586,50018
2018-08-20,0.057585,0.057936,0.053077,0.053168,0.053168,45716
2018-08-21,0.053086,0.053693,0.052245,0.053341,0.053341,55413
2018-08-22,0.053374,0.056318,0.050594,0.051353,0.051353,51880
2018-08-23,0.051424,0.053116,0.051384,0.053013,0.053013,51582
2018-08-24,0.053054,0.054042,0.052695,0.054042,0.054042,54915
2018-08-25,0.054015,0.054306,0.053525,0.053939,0.053939,49141
2018-08-26,0.053966,0.054001,0.052624,0.053387,0.053387,47299
2018-08-27,0.053425,0.053979,0.052340,0.053979,0.053979,60994
2018-08-28,0.053972,0.056573,0.053724,0.056543,0.056543,32365
2018-08-29,0.056535,0.056884,0.055637,0.055857,0.055857,40074
2018-08-30,0.055871,0.056092,0.053508,0.054641,0.054641,38567
2018-08-31,0.054648,0.055404,0.053507,0.055043,0.055043,47235
2018-09-01,0.055063,0.058035,0.055044,0.057399,0.057399,27970
2018-09-02,0.057422,0.058242,0.057087,0.057814,0.057814,34594
2018-09-03,0.057864,0.057897,0.056962,0.057371,0.057371,36633
2018-09-04,0.057393,0.057594,0.056570,0.057115,0.057115,40933
2018-09-05,0.057109,0.057278,0.048065,0.048065,0.048065,40292
2018-09-06,0.047809,0.047809,0.045148,0.047445,0.047445,32417
2018-09-07,0.047440,0.047931,0.045818,0.045818,0.045818,30439
2018-09-08,0.045823,0.046651,0.041529,0.042053,0.042053,30084
2018-09-09,0.041989,0.059957,0.040791,0.044607,0.044607,63339
2018-09-10,0.057777,0.093417,0.041265,0.042392,0.042392,81281
2018-09-11,0.042330,0.043666,0.038525,0.039027,0.039027,181131
2018-09-12,0.038785,0.040198,0.037446,0.040167,0.040167,16079
2018-09-13,0.040215,0.041890,0.036399,0.040202,0.040202,34818
2018-09-14,0.040115,0.041895,0.039509,0.041037,0.041037,17197
2018-09-15,0.040973,0.043389,0.040694,0.043022,0.043022,18801
2018-09-16,0.043071,0.043071,0.041554,0.042221,0.042221,22251
2018-09-17,0.042233,0.042694,0.038123,0.038366,0.038366,21515
2018-09-18,0.038355,0.040731,0.037617,0.040331,0.040331,14336
2018-09-19,0.040340,0.040863,0.039423,0.040654,0.040654,15018
