Date,Open,High,Low,Close,Adj Close,Volume
2018-05-25,0.031952,0.032251,0.030200,0.030467,0.030467,7485610
2018-05-26,0.030537,0.031040,0.028979,0.029404,0.029404,2806220
2018-05-27,0.029460,0.029600,0.026613,0.027001,0.027001,3726860
2018-05-28,0.026946,0.026977,0.020336,0.022743,0.022743,2001210
2018-05-29,0.022708,0.029304,0.022151,0.025582,0.025582,3982580
2018-05-30,0.025590,0.027241,0.024433,0.026736,0.026736,4103770
2018-05-31,0.026655,0.030675,0.026429,0.030633,0.030633,4555080
2018-06-01,0.030388,0.088037,0.030282,0.065884,0.065884,178384992
2018-06-02,0.065776,0.065776,0.057589,0.059623,0.059623,41904400
2018-06-03,0.059644,0.059827,0.052728,0.053532,0.053532,19840900
2018-06-04,0.052899,0.052903,0.045711,0.048847,0.048847,21179400
2018-06-05,0.048963,0.050250,0.044684,0.049707,0.049707,13169900
2018-06-06,0.049321,0.050107,0.044221,0.047116,0.047116,7365360
2018-06-07,0.047077,0.048026,0.044972,0.045079,0.045079,3672900
2018-06-08,0.045064,0.045194,0.042470,0.042470,0.042470,6492000
2018-06-09,0.042548,0.042596,0.039595,0.039745,0.039745,3014960
2018-06-10,0.039715,0.039715,0.032688,0.033075,0.033075,5442820
2018-06-11,0.033009,0.040039,0.032663,0.039264,0.039264,15039600
2018-06-12,0.039540,0.044581,0.036093,0.039495,0.039495,27428100
2018-06-13,0.040108,0.040600,0.033730,0.035425,0.035425,13986800
2018-06-14,0.035360,0.037697,0.034421,0.036745,0.036745,9028510
2018-06-15,0.036718,0.037006,0.033074,0.033358,0.033358,9585540
2018-06-16,0.033181,0.034534,0.032806,0.033725,0.033725,10802000
2018-06-17,0.033739,0.036303,0.033375,0.034564,0.034564,14313600
2018-06-18,0.034839,0.047768,0.034467,0.045159,0.045159,51885500
2018-06-19,0.044620,0.050181,0.041663,0.043258,0.043258,94395904
2018-06-20,0.043286,0.044158,0.035973,0.036472,0.036472,16806500
2018-06-21,0.036513,0.037052,0.034715,0.035335,0.035335,6048420
2018-06-22,0.035364,0.035965,0.029155,0.029360,0.029360,3852350
2018-06-23,0.029439,0.030704,0.028262,0.028836,0.028836,2056720
2018-06-24,0.028806,0.028928,0.023822,0.026290,0.026290,2997840
2018-06-25,0.026336,0.029834,0.025517,0.028237,0.028237,3630270
2018-06-26,0.028227,0.029173,0.025698,0.025698,0.025698,1890570
2018-06-27,0.025729,0.026371,0.024828,0.025832,0.025832,1530320
2018-06-28,0.025878,0.026948,0.024147,0.024246,0.024246,1744360
2018-06-29,0.024116,0.026006,0.023195,0.025443,0.025443,1803320
2018-06-30,0.025441,0.028211,0.025033,0.026860,0.026860,3501730
2018-07-01,0.026869,0.027150,0.025422,0.026384,0.026384,1515750
2018-07-02,0.026496,0.033244,0.026354,0.031425,0.031425,6046580
2018-07-03,0.031348,0.034065,0.028283,0.029039,0.029039,3390090
2018-07-04,0.028618,0.031047,0.028020,0.029507,0.029507,1430640
2018-07-05,0.029587,0.030283,0.027771,0.028859,0.028859,2717180
2018-07-06,0.028894,0.031285,0.027315,0.029093,0.029093,3530420
2018-07-07,0.029146,0.029375,0.027816,0.029350,0.029350,610921
2018-07-08,0.029336,0.030714,0.028823,0.030213,0.030213,932094
2018-07-09,0.030112,0.030127,0.027755,0.027817,0.027817,2058100
2018-07-10,0.027764,0.027845,0.024753,0.025015,0.025015,1144260
2018-07-11,0.025036,0.026373,0.024718,0.026226,0.026226,548544
2018-07-12,0.026505,0.026505,0.023907,0.024401,0.024401,3030650
2018-07-13,0.024560,0.025369,0.024378,0.024717,0.024717,2262600
2018-07-14,0.024726,0.024988,0.023716,0.024002,0.024002,551709
2018-07-15,0.023928,0.025008,0.023555,0.024617,0.024617,1294590
2018-07-16,0.024671,0.026729,0.024064,0.026615,0.026615,2182700
2018-07-17,0.026595,0.030006,0.025781,0.028966,0.028966,2185670
2018-07-18,0.028988,0.030058,0.027083,0.027431,0.027431,2008750
2018-07-19,0.027376,0.027788,0.025193,0.025294,0.025294,1462620
2018-07-20,0.025335,0.025780,0.023534,0.023869,0.023869,1115040
2018-07-21,0.023738,0.024953,0.023364,0.024133,0.024133,1579680
2018-07-22,0.024161,0.025675,0.023523,0.024333,0.024333,1642000
2018-07-23,0.024299,0.024836,0.021366,0.022120,0.022120,1627330
2018-07-24,0.022068,0.022608,0.019868,0.022101,0.022101,1732630
2018-07-25,0.021870,0.027337,0.021870,0.027337,0.027337,2411560
2018-07-26,0.028691,0.028691,0.022166,0.022814,0.022814,4907120
2018-07-27,0.022679,0.023335,0.021156,0.022829,0.022829,1549760
2018-07-28,0.022868,0.022911,0.022070,0.022513,0.022513,1691910
2018-07-29,0.022571,0.022824,0.021514,0.022467,0.022467,2138830
