Date,Open,High,Low,Close,Adj Close,Volume
2017-12-17,1.344700,1.703370,1.344700,1.353460,1.353460,6551370
2017-12-18,1.359320,1.426980,1.203340,1.426870,1.426870,3396460
2017-12-19,1.427040,1.506000,1.196440,1.253520,1.253520,3462600
2017-12-20,1.252990,1.296650,1.034280,1.174570,1.174570,2228110
2017-12-21,1.180080,1.323180,1.151900,1.219950,1.219950,2652060
2017-12-22,1.223810,1.236120,0.810786,1.118480,1.118480,2442400
2017-12-23,1.115740,1.296590,1.041580,1.158760,1.158760,2509960
2017-12-24,1.171670,1.171670,0.949302,1.062960,1.062960,1760300
2017-12-25,1.048860,1.159180,1.020650,1.138080,1.138080,2421610
2017-12-26,1.137250,1.310350,1.132430,1.310350,1.310350,2473220
2017-12-27,1.316240,1.862560,1.285250,1.719810,1.719810,8286640
2017-12-28,1.723650,1.942220,1.446000,1.918620,1.918620,27071100
2017-12-29,1.932940,2.359320,1.822500,2.352390,2.352390,37512200
2017-12-30,2.348150,2.596250,1.930380,2.414740,2.414740,49466700
2017-12-31,2.394400,3.765660,2.344420,3.526820,3.526820,99558096
2018-01-01,3.639540,3.797910,2.883810,3.657030,3.657030,36640900
2018-01-02,3.656010,3.914680,3.318320,3.673480,3.673480,26954300
2018-01-03,3.697990,9.570350,3.682120,8.685880,8.685880,106283000
2018-01-04,8.727730,8.727730,5.441880,6.142940,6.142940,71483696
2018-01-05,6.126320,6.435590,3.880480,4.530240,4.530240,63990600
2018-01-06,4.646970,6.735520,4.546530,6.735520,6.735520,73142096
2018-01-07,6.743300,6.743300,5.256570,6.005110,6.005110,53149000
2018-01-08,5.964620,6.144830,4.270880,5.426680,5.426680,34397800
2018-01-09,5.447930,5.660690,4.418390,4.764190,4.764190,34942100
2018-01-10,4.783340,5.186610,4.290130,4.691950,4.691950,25809000
2018-01-11,4.669230,5.187500,4.194220,4.625770,4.625770,38646800
2018-01-12,4.689780,5.013610,4.405870,4.405870,4.405870,18383500
2018-01-13,4.516860,4.756280,4.350280,4.391590,4.391590,23022300
2018-01-14,4.394800,4.615260,3.445200,3.720490,3.720490,22556200
2018-01-15,3.773640,3.858080,2.889470,2.889470,2.889470,20468700
