Date,Open,High,Low,Close,Adj Close,Volume
2018-05-25,2.407770,3.224910,2.206450,2.489620,2.489620,44352
2018-05-26,2.489980,2.775360,2.221020,2.402580,2.402580,31942
2018-05-27,2.407210,3.701350,2.241150,3.642110,3.642110,226031
2018-05-28,3.683540,3.989720,2.583260,3.052700,3.052700,175174
2018-05-29,3.043880,3.875050,2.583440,3.220650,3.220650,117432
2018-05-30,3.222620,3.606870,2.579800,2.834250,2.834250,37491
2018-05-31,2.861840,3.188200,2.001330,2.916560,2.916560,208013
2018-06-01,2.921120,3.009990,2.858940,3.002650,3.002650,489905
2018-06-02,3.000270,3.448470,2.924700,3.048270,3.048270,519277
2018-06-03,3.037260,3.070720,2.294510,2.554290,2.554290,420168
2018-06-04,2.600320,2.710220,2.131790,2.215660,2.215660,260312
2018-06-05,2.215500,2.454840,2.141960,2.252420,2.252420,86514
2018-06-06,2.247890,2.541230,2.153200,2.267130,2.267130,6086
2018-06-07,0.100749,0.102901,0.087164,0.087460,0.087460,3791
2018-06-08,0.087614,0.102953,0.083417,0.092545,0.092545,18275
2018-06-09,0.092569,0.103812,0.064799,0.103115,0.103115,8661
2018-06-10,0.103155,0.105650,0.082046,0.090917,0.090917,7771
2018-06-11,0.090964,0.156108,0.073126,0.105202,0.105202,16520
2018-06-12,0.105244,0.118458,0.063506,0.064332,0.064332,12408
2018-06-13,0.064588,0.088142,0.056218,0.061825,0.061825,451
2018-06-14,0.061972,0.089009,0.061150,0.064497,0.064497,1886
2018-06-15,0.064492,0.071792,0.058679,0.061517,0.061517,5080
2018-06-16,0.061491,0.061597,0.056091,0.060768,0.060768,5307
2018-06-17,0.060745,0.063224,0.059500,0.062960,0.062960,11183
2018-06-18,0.062918,0.063177,0.060192,0.062898,0.062898,2665
2018-06-19,0.062978,0.067698,0.054818,0.067530,0.067530,9237
2018-06-20,0.067593,0.067646,0.060360,0.061718,0.061718,8503
2018-06-21,0.061761,0.062747,0.059979,0.060161,0.060161,10802
2018-06-22,0.059997,0.060007,0.049879,0.050910,0.050910,3367
2018-06-23,0.050829,0.065153,0.050768,0.061697,0.061697,4452
2018-06-24,0.061673,0.082355,0.047301,0.047930,0.047930,2632
2018-06-25,0.047845,0.062669,0.047593,0.057589,0.057589,113761
2018-06-26,0.058452,0.060036,0.050379,0.055414,0.055414,56456
2018-06-27,0.055275,0.055644,0.045917,0.053925,0.053925,9431
