Date,Open,High,Low,Close,Adj Close,Volume
2018-02-26,0.041699,0.043584,0.037269,0.040968,0.040968,168388992
2018-02-27,0.040986,0.042162,0.032966,0.034808,0.034808,80844200
2018-02-28,0.034743,0.035956,0.027655,0.028055,0.028055,41576700
2018-03-01,0.027980,0.041559,0.027620,0.035394,0.035394,110297000
2018-03-02,0.035339,0.038096,0.034409,0.035307,0.035307,48462800
2018-03-03,0.035052,0.035647,0.032276,0.032553,0.032553,19729600
2018-03-04,0.032606,0.034856,0.031974,0.033817,0.033817,16789300
2018-03-05,0.033554,0.034300,0.031770,0.031859,0.031859,11522700
2018-03-06,0.031851,0.033035,0.028803,0.030343,0.030343,14561100
2018-03-07,0.030343,0.031507,0.024310,0.026064,0.026064,11586800
2018-03-08,0.026011,0.026497,0.022365,0.022730,0.022730,7966150
2018-03-09,0.022642,0.025697,0.019400,0.025636,0.025636,14539300
2018-03-10,0.025594,0.027193,0.023685,0.024795,0.024795,12889800
2018-03-11,0.024617,0.031349,0.023291,0.030820,0.030820,21908000
2018-03-12,0.030638,0.037764,0.030638,0.035875,0.035875,62242000
2018-03-13,0.035778,0.048859,0.034661,0.044168,0.044168,198436992
2018-03-14,0.044010,0.044010,0.029954,0.030645,0.030645,68328000
2018-03-15,0.030722,0.036951,0.028088,0.033719,0.033719,59490900
2018-03-16,0.034280,0.034280,0.030605,0.030840,0.030840,19803900
2018-03-17,0.030626,0.031596,0.026472,0.026635,0.026635,13326500
2018-03-18,0.026520,0.031999,0.023241,0.030260,0.030260,25624500
2018-03-19,0.030781,0.035134,0.029849,0.032329,0.032329,42568700
2018-03-20,0.032580,0.037064,0.031803,0.035997,0.035997,25236400
2018-03-21,0.036150,0.038451,0.033543,0.035307,0.035307,24573900
2018-03-22,0.035091,0.035912,0.031753,0.032844,0.032844,15066800
2018-03-23,0.032766,0.038769,0.030356,0.037941,0.037941,58815100
2018-03-24,0.038150,0.043035,0.036947,0.037309,0.037309,55036800
2018-03-25,0.036790,0.038100,0.034983,0.036207,0.036207,20072600
2018-03-26,0.036288,0.036831,0.031409,0.034197,0.034197,16334600
2018-03-27,0.033913,0.034246,0.030399,0.030994,0.030994,16174900
2018-03-28,0.031039,0.034649,0.030614,0.033507,0.033507,21367400
2018-03-29,0.033785,0.034084,0.028185,0.028906,0.028906,16317400
2018-03-30,0.028893,0.029953,0.026084,0.027488,0.027488,11547300
2018-03-31,0.027483,0.029299,0.027360,0.028060,0.028060,7426480
2018-04-01,0.028058,0.028780,0.024454,0.025536,0.025536,8195820
2018-04-02,0.025729,0.027408,0.025451,0.026679,0.026679,7571550
2018-04-03,0.026697,0.028265,0.026470,0.028066,0.028066,8143520
2018-04-04,0.028074,0.028835,0.026639,0.026800,0.026800,17635700
2018-04-05,0.026689,0.027944,0.025663,0.027236,0.027236,12736000
2018-04-06,0.026972,0.027289,0.025099,0.025543,0.025543,6630780
2018-04-07,0.025616,0.030031,0.025471,0.028210,0.028210,17611000
2018-04-08,0.028152,0.032111,0.028152,0.029303,0.029303,34079800
2018-04-09,0.029420,0.029682,0.026846,0.027406,0.027406,11370100
2018-04-10,0.027386,0.030191,0.027279,0.029669,0.029669,19669400
2018-04-11,0.029574,0.033578,0.029280,0.031823,0.031823,31843800
2018-04-12,0.031664,0.034602,0.030438,0.034544,0.034544,22282800
2018-04-13,0.034744,0.044145,0.033877,0.040599,0.040599,51891000
2018-04-14,0.040934,0.045929,0.039221,0.041473,0.041473,43245300
