Date,Open,High,Low,Close,Adj Close,Volume
2020-06-08,2.177568,2.178629,1.927092,1.948212,1.948212,10439
2020-06-09,1.949060,1.962521,1.924464,1.943425,1.943425,10304
2020-06-10,1.942748,1.968395,1.927319,1.956782,1.956782,10719
2020-06-11,1.956811,1.972359,1.876142,1.884570,1.884570,9657
2020-06-12,1.884092,1.924848,1.874606,1.905134,1.905134,9733
2020-06-13,1.907411,1.922901,1.897795,1.919069,1.919069,10366
2020-06-14,1.913544,1.925075,1.684810,1.719734,1.719734,9910
2020-06-15,1.719609,1.719609,1.399762,1.406147,1.406147,7559
2020-06-16,1.406095,1.429170,1.377881,1.381630,1.381630,7476
2020-06-17,1.382098,1.390514,1.321635,1.336863,1.336863,6832
2020-06-18,1.336604,1.529373,1.332570,1.514418,1.514418,8236
2020-06-19,1.513713,1.554614,1.469506,1.484011,1.484011,8277
2020-06-20,1.476350,1.514730,1.468467,1.486077,1.486077,8175
2020-06-21,1.486318,1.511156,1.482792,1.490359,1.490359,8218
2020-06-22,1.492317,1.550125,1.487537,1.534491,1.534491,8442
2020-06-23,1.542762,1.558034,1.526885,1.545075,1.545075,7725
2020-06-24,1.545335,1.545335,1.414272,1.426106,1.426106,7784
2020-06-25,1.425956,1.430620,1.402928,1.415214,1.415214,7853
2020-06-26,1.415042,1.420645,1.402415,1.410265,1.410265,8096
2020-06-27,1.410178,1.422834,1.385366,1.398245,1.398245,7404
2020-06-28,1.398245,1.407077,1.381575,1.398632,1.398632,7631
2020-06-29,1.398076,6.023148,1.320626,1.929484,1.929484,15995
2020-06-30,1.933248,1.967061,1.418660,1.718714,1.718714,20410
2020-07-01,1.718152,2.605556,1.698348,2.117163,2.117163,23854
2020-07-02,2.118097,2.139043,2.055510,2.085540,2.085540,21321
2020-07-03,2.083983,2.184167,2.069983,2.143467,2.143467,23432
2020-07-04,2.142816,2.259810,2.142439,2.182469,2.182469,22573
2020-07-05,2.180874,2.197288,2.093635,2.120660,2.120660,24496
2020-07-06,2.120660,2.309547,2.107305,2.302068,2.302068,24816
2020-07-07,2.297974,3.549458,2.259318,3.081757,3.081757,30893
2020-07-08,3.081757,3.098686,2.214081,2.249258,2.249258,26306
2020-07-09,2.249258,2.336945,1.732808,1.790231,1.790231,26694
2020-07-10,1.789824,1.798731,1.602337,1.627798,1.627798,36172
2020-07-11,1.628250,1.628564,1.347442,1.389947,1.389947,30605
2020-07-12,1.377191,1.398373,1.332439,1.372231,1.372231,29258
2020-07-13,1.372231,1.536719,1.358441,1.520554,1.520554,33022
2020-07-14,1.520554,1.558835,1.472572,1.514336,1.514336,35282
2020-07-15,1.522319,1.539528,1.395438,1.449516,1.449516,33739
2020-07-16,1.448693,1.458560,1.394230,1.418873,1.418873,34676
2020-07-17,1.418351,1.431337,1.357132,1.414181,1.414181,33168
2020-07-18,1.414905,1.538229,1.360929,1.385350,1.385350,40343
2020-07-19,1.385252,1.470288,1.362937,1.448143,1.448143,33617
2020-07-20,1.448126,1.645002,1.433095,1.609957,1.609957,33265
2020-07-21,1.609957,1.623194,1.496457,1.565481,1.565481,289446
2020-07-22,1.564981,1.811439,1.482536,1.664794,1.664794,233250
2020-07-23,1.664794,1.666587,1.076658,1.520446,1.520446,44675
2020-07-24,1.520446,3.309922,0.565684,2.798906,2.798906,43761
2020-07-25,2.798666,3.261614,2.131949,2.782577,2.782577,44478
2020-07-26,2.784016,3.976011,2.492977,3.081125,3.081125,40106
2020-07-27,3.081262,3.698711,2.526586,2.880461,2.880461,32817
2020-07-28,2.874029,22.849380,2.627235,2.628249,2.628249,37633
2020-07-29,2.624918,6.201119,2.584625,3.524917,3.524917,304542
2020-07-30,3.524917,3.941747,3.076350,3.250754,3.250754,298601
2020-07-31,3.250754,4.057827,3.247707,3.707202,3.707202,314798
2020-08-01,3.703082,3.844562,2.900208,3.360843,3.360843,321592
2020-08-02,3.353806,3.370468,2.337957,2.367480,2.367480,303098
2020-08-03,2.367266,2.655440,2.097194,2.352477,2.352477,342079
2020-08-04,2.353373,2.860708,2.301162,2.776262,2.776262,295720
2020-08-05,2.773974,3.040127,2.476068,2.543866,2.543866,320769
2020-08-06,2.543866,2.893589,2.473940,2.723844,2.723844,245374
2020-08-07,2.724195,2.786547,2.367055,2.389275,2.389275,284817
2020-08-08,2.397596,3.939268,2.377851,3.529515,3.529515,662441
2020-08-09,3.493243,6.301821,3.493243,4.130473,4.130473,992830
2020-08-10,4.130473,25.792526,3.800982,18.870543,18.870543,3664036
2020-08-11,18.866873,22.737099,10.629250,16.546888,16.546888,2628342
2020-08-12,16.570580,17.695286,11.268726,14.251713,14.251713,1850451
2020-08-13,14.259347,17.910034,12.172031,17.637775,17.637775,1311456
2020-08-14,17.664160,39.856178,14.070781,35.628563,35.628563,4275328
2020-08-15,35.667862,48.836460,28.528200,37.964565,37.964565,5395354
2020-08-16,38.028053,47.892166,33.257843,36.421391,36.421391,3410079
2020-08-17,36.421391,38.010147,27.318459,31.185638,31.185638,2658506
2020-08-18,31.273476,39.520454,25.742392,31.692284,31.692284,2894772
2020-08-19,31.924187,33.843365,27.125116,32.386353,32.386353,2483154
2020-08-20,32.386353,34.307957,22.745667,28.300600,28.300600,2045584
2020-08-21,28.296970,28.597980,20.414112,22.756105,22.756105,1282974
2020-08-22,22.739553,27.689974,20.824594,24.765629,24.765629,1139893
