Date,Open,High,Low,Close,Adj Close,Volume
2018-09-21,0.017644,0.019808,0.017610,0.019649,0.019649,18550
2018-09-22,0.019712,0.022214,0.018161,0.021619,0.021619,30816
2018-09-23,0.021632,0.023684,0.020928,0.023411,0.023411,20041
2018-09-24,0.023454,0.027441,0.022965,0.025232,0.025232,32693
2018-09-25,0.025239,0.029123,0.022271,0.026293,0.026293,60428
2018-09-26,0.026341,0.026341,0.021839,0.022830,0.022830,25963
2018-09-27,0.022818,0.031685,0.021390,0.028769,0.028769,30121
2018-09-28,0.028789,0.032100,0.026505,0.030797,0.030797,33085
2018-09-29,0.030738,0.033640,0.029048,0.030857,0.030857,17863
2018-09-30,0.030820,0.032645,0.029249,0.030042,0.030042,41227
2018-10-01,0.030034,0.041230,0.029977,0.038095,0.038095,60850
2018-10-02,0.038056,0.042532,0.037784,0.040068,0.040068,32987
2018-10-03,0.040084,0.049211,0.037972,0.047799,0.047799,88741
2018-10-04,0.047806,0.054198,0.046995,0.049992,0.049992,59920
2018-10-05,0.049982,0.050702,0.042345,0.048786,0.048786,156011
2018-10-06,0.048805,0.048943,0.043005,0.044031,0.044031,69570
2018-10-07,0.044055,0.044837,0.041327,0.043595,0.043595,54483
2018-10-08,0.043671,0.045828,0.042816,0.044492,0.044492,71540
2018-10-09,0.044475,0.046047,0.040907,0.045411,0.045411,90198
2018-10-10,0.045371,0.046033,0.042321,0.042725,0.042725,65208
2018-10-11,0.042696,0.042729,0.034361,0.035969,0.035969,70204
2018-10-12,0.035956,0.040021,0.035151,0.039528,0.039528,50983
2018-10-13,0.039474,0.040305,0.037363,0.037525,0.037525,51791
2018-10-14,0.037523,0.046900,0.037409,0.042849,0.042849,104128
2018-10-15,0.042930,0.049989,0.041370,0.044299,0.044299,104531
2018-10-16,0.042704,0.047149,0.042323,0.045345,0.045345,98138
2018-10-17,0.045425,0.048760,0.043558,0.046907,0.046907,85074
2018-10-18,0.046801,0.048128,0.045028,0.046045,0.046045,61046
2018-10-19,0.046046,0.046691,0.044527,0.045077,0.045077,57159
2018-10-20,0.045027,0.046721,0.044850,0.046245,0.046245,89215
2018-10-21,0.046212,0.047329,0.045666,0.045775,0.045775,95390
2018-10-22,0.045789,0.046312,0.044333,0.045072,0.045072,98363
2018-10-23,0.045096,0.045320,0.041707,0.043453,0.043453,105952
2018-10-24,0.043448,0.044305,0.039143,0.040350,0.040350,93026
2018-10-25,0.040346,0.041615,0.039029,0.039032,0.039032,83918
2018-10-26,0.038992,0.041593,0.036698,0.040459,0.040459,79905
2018-10-27,0.040457,0.040850,0.039721,0.040175,0.040175,62807
2018-10-28,0.040133,0.040654,0.037889,0.040032,0.040032,98989
