Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,0.130028,0.142959,0.123754,0.123754,0.123754,786206
2017-11-10,0.124108,0.142476,0.106127,0.124694,0.124694,574865
2017-11-11,0.120528,0.124480,0.112385,0.116844,0.116844,338767
2017-11-12,0.116818,0.231566,0.097966,0.104423,0.104423,746046
2017-11-13,0.105712,0.118736,0.103966,0.116983,0.116983,440854
2017-11-14,0.119119,0.129728,0.111882,0.124456,0.124456,491896
2017-11-15,0.122154,0.139420,0.122154,0.139318,0.139318,722354
2017-11-16,0.139789,0.155571,0.137168,0.144186,0.144186,1129700
2017-11-17,0.143896,0.148914,0.132387,0.132980,0.132980,587284
2017-11-18,0.131007,0.146417,0.130694,0.146242,0.146242,571061
2017-11-19,0.146588,0.148040,0.139417,0.141406,0.141406,730202
2017-11-20,0.142211,0.145666,0.134559,0.139196,0.139196,881274
2017-11-21,0.139322,0.144207,0.131677,0.136016,0.136016,695585
2017-11-22,0.137275,0.177962,0.136380,0.167318,0.167318,1747760
2017-11-23,0.167404,0.236766,0.162443,0.211102,0.211102,5102960
2017-11-24,0.213442,0.233309,0.200849,0.229077,0.229077,2050880
2017-11-25,0.229401,0.327833,0.229031,0.321691,0.321691,4899890
2017-11-26,0.317642,0.384710,0.295721,0.332876,0.332876,8031740
2017-11-27,0.330575,0.353844,0.281283,0.314555,0.314555,4249310
2017-11-28,0.311216,0.373649,0.306680,0.369369,0.369369,4771830
2017-11-29,0.372373,0.376983,0.261757,0.280526,0.280526,4086720
2017-11-30,0.285566,0.330841,0.234953,0.309284,0.309284,3659760
2017-12-01,0.307835,0.345321,0.296715,0.319011,0.319011,3469630
2017-12-02,0.318964,0.323676,0.273469,0.295308,0.295308,2829050
2017-12-03,0.295765,0.345672,0.290596,0.314116,0.314116,3127910
2017-12-04,0.315084,0.322063,0.291111,0.322063,0.322063,2330020
2017-12-05,0.322984,0.409076,0.315983,0.401687,0.401687,6407740
2017-12-06,0.391924,0.419326,0.349604,0.381373,0.381373,4938820
2017-12-07,0.378440,0.482425,0.347826,0.353567,0.353567,6169280
2017-12-08,0.353736,0.395352,0.291252,0.384707,0.384707,5639310
2017-12-09,0.388512,0.398855,0.341982,0.375790,0.375790,4104050
2017-12-10,0.372639,0.383774,0.319361,0.345976,0.345976,3872730
2017-12-11,0.355792,0.378471,0.338198,0.364687,0.364687,3726100
2017-12-12,0.362606,0.371233,0.312859,0.329115,0.329115,5085430
2017-12-13,0.329547,0.374402,0.309226,0.355122,0.355122,5494230
2017-12-14,0.353844,0.492291,0.353454,0.467625,0.467625,12055300
2017-12-15,0.462530,0.470433,0.362080,0.438973,0.438973,5978960
2017-12-16,0.441297,0.593593,0.440326,0.579994,0.579994,8799970
2017-12-17,0.579756,0.676510,0.556412,0.615616,0.615616,9112280
2017-12-18,0.618338,0.640201,0.577358,0.627844,0.627844,6238150
2017-12-19,0.630361,0.648071,0.548624,0.569265,0.569265,4469370
2017-12-20,0.568710,0.624959,0.504442,0.534007,0.534007,7329950
2017-12-21,0.535677,0.784739,0.532294,0.688381,0.688381,14755700
2017-12-22,0.692003,0.725766,0.425393,0.590531,0.590531,8464380
2017-12-23,0.589722,0.723930,0.575805,0.671475,0.671475,5794020
