Date,Open,High,Low,Close,Adj Close,Volume
2019-07-31,0.056945,0.058083,0.055741,0.058044,0.058044,921475
2019-08-01,0.058000,0.058522,0.048708,0.054106,0.054106,352341
2019-08-02,0.054055,0.076903,0.051099,0.068346,0.068346,900648
2019-08-03,0.068342,0.096118,0.067116,0.079735,0.079735,943732
2019-08-04,0.079679,0.086447,0.077633,0.082602,0.082602,463688
2019-08-05,0.082622,0.084515,0.059731,0.065514,0.065514,631552
2019-08-06,0.065549,0.065796,0.053639,0.058459,0.058459,951526
2019-08-07,0.058417,0.058904,0.053391,0.057120,0.057120,728165
2019-08-08,0.057120,0.057305,0.048427,0.051043,0.051043,728574
2019-08-09,0.051094,0.052229,0.044353,0.049253,0.049253,839437
2019-08-10,0.049253,0.059029,0.048679,0.055906,0.055906,709307
2019-08-11,0.055863,0.056187,0.046160,0.050756,0.050756,825266
2019-08-12,0.050705,0.054031,0.047558,0.052595,0.052595,958090
2019-08-13,0.052622,0.053892,0.049461,0.050037,0.050037,373218
2019-08-14,0.050030,0.050337,0.045732,0.045864,0.045864,536626
2019-08-15,0.045864,0.046893,0.044329,0.045435,0.045435,287392
2019-08-16,0.045494,0.045562,0.040651,0.040915,0.040915,218646
2019-08-17,0.041061,0.041182,0.036076,0.038223,0.038223,297222
2019-08-18,0.038143,0.040276,0.036655,0.039374,0.039374,706002
2019-08-19,0.039466,0.040276,0.034771,0.035856,0.035856,418404
2019-08-20,0.035856,0.036246,0.032469,0.034067,0.034067,858255
2019-08-21,0.034055,0.034092,0.030869,0.031980,0.031980,792394
2019-08-22,0.031966,0.036644,0.030076,0.033087,0.033087,880401
2019-08-23,0.033087,0.038864,0.032915,0.037832,0.037832,1000344
2019-08-24,0.037846,0.037865,0.034411,0.035910,0.035910,1068673
2019-08-25,0.035910,0.043309,0.035521,0.040429,0.040429,515591
2019-08-26,0.040449,0.041752,0.038746,0.041747,0.041747,1166618
2019-08-27,0.041748,0.043570,0.040062,0.042867,0.042867,1228652
2019-08-28,0.042839,0.042910,0.038495,0.038695,0.038695,985587
2019-08-29,0.038693,0.038739,0.033488,0.034324,0.034324,851972
2019-08-30,0.034324,0.034685,0.033521,0.034065,0.034065,1200515
2019-08-31,0.034076,0.034450,0.033461,0.033690,0.033690,1358112
2019-09-01,0.033692,0.034526,0.033099,0.034332,0.034332,1159898
2019-09-02,0.034335,0.034609,0.033814,0.034012,0.034012,1103757
2019-09-03,0.034017,0.034658,0.033927,0.034335,0.034335,609669
2019-09-04,0.034360,0.034626,0.033626,0.034084,0.034084,1237979
2019-09-05,0.034084,0.034666,0.029263,0.030148,0.030148,912877
2019-09-06,0.030148,0.031659,0.029404,0.029788,0.029788,725920
2019-09-07,0.029795,0.031827,0.029726,0.031587,0.031587,339676
2019-09-08,0.031585,0.047932,0.030239,0.042822,0.042822,539186
2019-09-09,0.042822,0.046758,0.033842,0.036661,0.036661,511907
2019-09-10,0.036725,0.043365,0.031157,0.040442,0.040442,1371059
2019-09-11,0.040442,0.040974,0.033662,0.037309,0.037309,903102
2019-09-12,0.037309,0.039297,0.032980,0.034065,0.034065,317333
2019-09-13,0.033916,0.038891,0.033430,0.037896,0.037896,502549
2019-09-14,0.037982,0.037993,0.035108,0.035153,0.035153,1129963
2019-09-15,0.035137,0.037027,0.035066,0.035771,0.035771,244832
2019-09-16,0.035771,0.035944,0.031910,0.032462,0.032462,672269
2019-09-17,0.032485,0.032629,0.030571,0.031209,0.031209,825892
