Date,Open,High,Low,Close,Adj Close,Volume
2019-05-25,0.077678,0.080279,0.065094,0.071030,0.071030,90475
2019-05-26,0.070976,0.071408,0.061649,0.067954,0.067954,52758
2019-05-27,0.068133,0.075206,0.067416,0.070490,0.070490,56124
2019-05-28,0.070282,0.071406,0.068315,0.069078,0.069078,41933
2019-05-29,0.069078,0.074509,0.066911,0.073640,0.073640,136562
2019-05-30,0.073640,0.083961,0.064872,0.076627,0.076627,60033
2019-05-31,0.076627,0.079279,0.062282,0.069401,0.069401,109645
2019-06-01,0.069401,0.106990,0.058288,0.064425,0.064425,87280
2019-06-02,0.064425,0.072345,0.062148,0.071277,0.071277,147583
2019-06-03,0.071277,0.076793,0.057249,0.058017,0.058017,180071
2019-06-04,0.058260,0.058260,0.052839,0.054816,0.054816,138152
2019-06-05,0.055237,0.062701,0.054226,0.061830,0.061830,177382
2019-06-06,0.062072,0.070087,0.060048,0.063962,0.063962,229208
2019-06-07,0.063474,0.083779,0.062876,0.083110,0.083110,305627
2019-06-08,0.083170,0.084732,0.071682,0.084470,0.084470,308609
2019-06-09,0.083957,0.092909,0.079601,0.091269,0.091269,334651
2019-06-10,0.091100,0.109634,0.080855,0.101431,0.101431,444366
2019-06-11,0.101929,0.118295,0.092905,0.116964,0.116964,684469
2019-06-12,0.116140,0.174218,0.114340,0.152275,0.152275,1047467
2019-06-13,0.154297,0.187229,0.126755,0.158739,0.158739,1122490
2019-06-14,0.157028,0.182007,0.116286,0.173936,0.173936,1656369
2019-06-15,0.174126,0.224426,0.160242,0.196442,0.196442,2124717
2019-06-16,0.196442,0.218446,0.184911,0.216918,0.216918,2343037
2019-06-17,0.216918,0.298003,0.182467,0.194701,0.194701,2655162
2019-06-18,0.195439,0.210526,0.119215,0.168667,0.168667,1794261
2019-06-19,0.167209,0.245801,0.164354,0.236841,0.236841,2317517
2019-06-20,0.239631,0.254920,0.199597,0.246883,0.246883,2216013
2019-06-21,0.247675,0.258563,0.216735,0.251213,0.251213,2087370
2019-06-22,0.254723,0.290745,0.235831,0.289741,0.289741,2581932
2019-06-23,0.289770,0.407469,0.288418,0.295931,0.295931,3781754
2019-06-24,0.295931,0.339781,0.277453,0.316778,0.316778,6602963
2019-06-25,0.318064,0.368157,0.310965,0.355680,0.355680,9610498
2019-06-26,0.355680,0.402502,0.320733,0.371424,0.371424,9486484
2019-06-27,0.371424,0.378706,0.256879,0.267780,0.267780,7405804
2019-06-28,0.270330,0.354724,0.265322,0.329569,0.329569,9102655
2019-06-29,0.330152,0.440155,0.312186,0.428965,0.428965,9909131
2019-06-30,0.428674,0.503713,0.405214,0.449904,0.449904,11263971
2019-07-01,0.449904,0.552641,0.405032,0.452414,0.452414,11598097
2019-07-02,0.453690,0.488983,0.393354,0.403132,0.403132,11520202
2019-07-03,0.402456,0.433839,0.337293,0.383775,0.383775,10432419
